index,plant,staerke_txt,staerke_num,execution_time
7,Beifu\xdf,schwach,1,2020-05-25 18:32:46.885145
8,G\xe4nsefu\xdf,schwach,1,2020-05-25 18:32:46.885145
9,Mais,schwach,1,2020-05-25 18:32:46.885145
10,Brennessel,schwach,1,2020-05-25 18:32:46.885145
11,Hafer,schwach,1,2020-05-25 18:32:46.885145
12,Roggen,schwach,1,2020-05-25 18:32:46.885145
14,Weizen,schwach,1,2020-05-25 18:32:46.885145
15,Spitzwegerich,mäßig,2,2020-05-25 18:32:46.885145
16,Raps,schwach,1,2020-05-25 18:32:46.885145
17,Hopfen,mäßig,2,2020-05-25 18:32:46.885145
18,Holunder,mäßig,2,2020-05-25 18:32:46.885145
19,Ulme,keine,0,2020-05-25 18:32:46.885145
21,Pappel,schwach,1,2020-05-25 18:32:46.885145
22,Weide,schwach,1,2020-05-25 18:32:46.885145
23,Birke,keine,0,2020-05-25 18:32:46.885145
24,Eiche,schwach,1,2020-05-25 18:32:46.885145
25,Esche,schwach,1,2020-05-25 18:32:46.885145
26,Platane,schwach,1,2020-05-25 18:32:46.885145
28,Flieder,schwach,1,2020-05-25 18:32:46.885145
29,Ambrosia,keine,0,2020-05-25 18:32:46.885145
30,Buche,schwach,1,2020-05-25 18:32:46.885145
31,Rotbuche,schwach,1,2020-05-25 18:32:46.885145
32,Ahorn,schwach,1,2020-05-25 18:32:46.885145
33,Nessel,schwach,1,2020-05-25 18:32:46.885145
35,Kiefer,schwach,1,2020-05-25 18:32:46.885145
36,Tanne,mäßig,2,2020-05-25 18:32:46.885145
37,Fichte,mäßig,2,2020-05-25 18:32:46.885145
0,Erle,keine,0,2020-05-24 20:54:56.622115
1,Hasel,keine,0,2020-05-24 20:54:56.622115
2,L\xf6wenzahn,mäßig,2,2020-05-24 20:54:56.622115
3,Gr\xe4ser,mäßig,2,2020-05-24 20:54:56.622115
4,Gerste,mäßig,2,2020-05-24 20:54:56.622115
5,Linde,schwach,1,2020-05-24 20:54:56.622115
7,Beifu\xdf,schwach,1,2020-05-24 20:54:56.622115
8,G\xe4nsefu\xdf,schwach,1,2020-05-24 20:54:56.622115
9,Mais,schwach,1,2020-05-24 20:54:56.622115
10,Brennessel,schwach,1,2020-05-24 20:54:56.622115
11,Hafer,schwach,1,2020-05-24 20:54:56.622115
12,Roggen,schwach,1,2020-05-24 20:54:56.622115
14,Weizen,schwach,1,2020-05-24 20:54:56.622115
15,Spitzwegerich,mäßig,2,2020-05-24 20:54:56.622115
16,Raps,schwach,1,2020-05-24 20:54:56.622115
17,Hopfen,mäßig,2,2020-05-24 20:54:56.622115
18,Holunder,mäßig,2,2020-05-24 20:54:56.622115
19,Ulme,keine,0,2020-05-24 20:54:56.622115
21,Pappel,schwach,1,2020-05-24 20:54:56.622115
22,Weide,schwach,1,2020-05-24 20:54:56.622115
23,Birke,keine,0,2020-05-24 20:54:56.622115
24,Eiche,schwach,1,2020-05-24 20:54:56.622115
25,Esche,schwach,1,2020-05-24 20:54:56.622115
26,Platane,schwach,1,2020-05-24 20:54:56.622115
28,Flieder,schwach,1,2020-05-24 20:54:56.622115
29,Ambrosia,keine,0,2020-05-24 20:54:56.622115
30,Buche,schwach,1,2020-05-24 20:54:56.622115
31,Rotbuche,schwach,1,2020-05-24 20:54:56.622115
32,Ahorn,schwach,1,2020-05-24 20:54:56.622115
33,Nessel,schwach,1,2020-05-24 20:54:56.622115
35,Kiefer,schwach,1,2020-05-24 20:54:56.622115
36,Tanne,mäßig,2,2020-05-24 20:54:56.622115
37,Fichte,mäßig,2,2020-05-24 20:54:56.622115
0,Erle,keine,0,2020-05-21 21:34:30.519375
1,Hasel,keine,0,2020-05-21 21:34:30.519375
2,L\xf6wenzahn,stark,3,2020-05-21 21:34:30.519375
3,Gr\xe4ser,stark,3,2020-05-21 21:34:30.519375
4,Gerste,mäßig,2,2020-05-21 21:34:30.519375
5,Linde,schwach,1,2020-05-21 21:34:30.519375
7,Beifu\xdf,mäßig,2,2020-05-21 21:34:30.519375
8,G\xe4nsefu\xdf,schwach,1,2020-05-21 21:34:30.519375
9,Mais,schwach,1,2020-05-21 21:34:30.519375
10,Brennessel,mäßig,2,2020-05-21 21:34:30.519375
11,Hafer,mäßig,2,2020-05-21 21:34:30.519375
12,Roggen,mäßig,2,2020-05-21 21:34:30.519375
14,Weizen,mäßig,2,2020-05-21 21:34:30.519375
15,Spitzwegerich,stark,3,2020-05-21 21:34:30.519375
16,Raps,mäßig,2,2020-05-21 21:34:30.519375
17,Hopfen,stark,3,2020-05-21 21:34:30.519375
18,Holunder,mäßig,2,2020-05-21 21:34:30.519375
19,Ulme,schwach,1,2020-05-21 21:34:30.519375
21,Pappel,schwach,1,2020-05-21 21:34:30.519375
22,Weide,schwach,1,2020-05-21 21:34:30.519375
23,Birke,keine,0,2020-05-21 21:34:30.519375
24,Eiche,schwach,1,2020-05-21 21:34:30.519375
25,Esche,schwach,1,2020-05-21 21:34:30.519375
26,Platane,mäßig,2,2020-05-21 21:34:30.519375
28,Flieder,schwach,1,2020-05-21 21:34:30.519375
29,Ambrosia,keine,0,2020-05-21 21:34:30.519375
30,Buche,stark,3,2020-05-21 21:34:30.519375
31,Rotbuche,stark,3,2020-05-21 21:34:30.519375
32,Ahorn,stark,3,2020-05-21 21:34:30.519375
33,Nessel,schwach,1,2020-05-21 21:34:30.519375
35,Kiefer,mäßig,2,2020-05-21 21:34:30.519375
36,Tanne,stark,3,2020-05-21 21:34:30.519375
37,Fichte,stark,3,2020-05-21 21:34:30.519375
0,Erle,keine,0,2020-05-17 08:58:49.162521
1,Hasel,keine,0,2020-05-17 08:58:49.162521
2,L\xf6wenzahn,stark,3,2020-05-17 08:58:49.162521
3,Gr\xe4ser,stark,3,2020-05-17 08:58:49.162521
4,Gerste,mäßig,2,2020-05-17 08:58:49.162521
5,Linde,schwach,1,2020-05-17 08:58:49.162521
7,Beifu\xdf,mäßig,2,2020-05-17 08:58:49.162521
8,G\xe4nsefu\xdf,schwach,1,2020-05-17 08:58:49.162521
9,Mais,schwach,1,2020-05-17 08:58:49.162521
10,Brennessel,mäßig,2,2020-05-17 08:58:49.162521
11,Hafer,mäßig,2,2020-05-17 08:58:49.162521
12,Roggen,mäßig,2,2020-05-17 08:58:49.162521
14,Weizen,mäßig,2,2020-05-17 08:58:49.162521
15,Spitzwegerich,stark,3,2020-05-17 08:58:49.162521
16,Raps,mäßig,2,2020-05-17 08:58:49.162521
17,Hopfen,stark,3,2020-05-17 08:58:49.162521
18,Holunder,mäßig,2,2020-05-17 08:58:49.162521
19,Ulme,schwach,1,2020-05-17 08:58:49.162521
21,Pappel,schwach,1,2020-05-17 08:58:49.162521
22,Weide,schwach,1,2020-05-17 08:58:49.162521
23,Birke,keine,0,2020-05-17 08:58:49.162521
24,Eiche,schwach,1,2020-05-17 08:58:49.162521
25,Esche,schwach,1,2020-05-17 08:58:49.162521
26,Platane,mäßig,2,2020-05-17 08:58:49.162521
28,Flieder,schwach,1,2020-05-17 08:58:49.162521
29,Ambrosia,keine,0,2020-05-17 08:58:49.162521
30,Buche,stark,3,2020-05-17 08:58:49.162521
31,Rotbuche,stark,3,2020-05-17 08:58:49.162521
32,Ahorn,stark,3,2020-05-17 08:58:49.162521
33,Nessel,schwach,1,2020-05-17 08:58:49.162521
35,Kiefer,mäßig,2,2020-05-17 08:58:49.162521
36,Tanne,stark,3,2020-05-17 08:58:49.162521
37,Fichte,stark,3,2020-05-17 08:58:49.162521
